（西皮摇板）, 你 私自 上 梁山 好 没 来由
（西皮摇板）, 那 宋江 他 本 是 贼人 之类   尔 胆敢 通强 寇私 把 书 修
（内西皮导板）, 旌旗 飘摇 金鼓 闹
（西皮快板）, 杀气 腾腾 冲 九霄   各 个 儿郎 如 虎豹   气 吐 长虹 万丈 高   全 凭 赤兔 胭脂 豹   斩 将 擒敌 显 英豪
（西皮流水板）, 坐 雕鞍勒丝缰 自 思自想   愧煞 我 将 英才 汉 室 云 长   进曹 营 与 张辽 三 事 约 讲   知兄 信立 功劳 离 却 许昌   今日 里 校 军场 比试 较量   论 英雄 分 魁首 哪 有 心肠
（西皮摇板）, 威风 凛凛 杀气 升
（西皮原板）, 队伍 齐整 密 层层   河北 袁绍 实 可恨   两 次 兴师 敢 战争   颜良
（西皮流水板）, 适才 将 台 阅兵 将   蔡阳 刀法 果 无双   校军 场 丞相 把 令 降   风云 聚会 各 争强   宽 锦 袍 紧 甲胄 校军 场上   提偃 月 跨坐 骑 论 论 谁 强
（西皮散板）, 校场 比试艺 不精   特来 求教 拜 府门
（西皮散板）, 徐公明 英勇 某 久仰
（西皮散板）, 怎 比 关兄 天下扬
（西皮散板）, 此间 好比 战场 上
（西皮散板）, 求 教学 刀 永 不 忘
（西皮散板）, 躬身 施礼 出府 门   改日 拜 府叙 衷情
（西皮散板）, 好 个 聪明 徐公明   拜府 求教 令 人 钦
（西皮散板）, 适才 曹府闻 一 信   报 与 二爷 得 知情
（西皮散板）, 在 许昌 每日 里 心 不 安静   思 兄长 使 关某 珠 泪 常 浸   讨 将令 统 军士 汝南 对阵   倘若 是 得 兄 信 离 却 曹营
（西皮导板）, 听凶报 痛 得 孤 二 目 呆 瞪
（西皮散板）, 一旦 间 使得 孤 足 折 手 分
（西皮散板）, 眼望西蜀 咬 牙根   指着 大耳 骂 几 声   孤 一 怒 将 你 踏 齑粉   看 是 谁 强 哪个 能
（西皮摇板）, 口传 将令 泪珠 倾
（西皮流水板）, 尊 一 声 股肱 众 将军   孤 自从 起兵 东留郡   都 只为 逆臣 董卓 目无君   东荡西除 亲 临阵   南征 北 剿自 劳形   甘苦 辛劳 不辞任   扫 得 群雄 似 晨星   只 剩 孙 刘未 归顺   看来 也 在 孤 的 手掌心   只要 尔等 奋勇 进   谅 他 插翅 难 飞腾   今晚 暂且 各自 安顿
（西皮摇板）, 选择 黄道 一 战功 成
（西皮二六板）, 说 什么 军家 无常胜   仔细 看看 黄汉升   一 马儿 踏 奔曹 营境   恰似 猛虎 闯 羊群   老夫 今年 七十 整   还 要 抖 一抖 我 的 老 精神   杀 得 他 马 前来 归顺   看 一 看 老儿 能不能
（西皮摇板）, 此 事 赵云 当 退任
（西皮摇板）, 你 让 我 黄忠战 几 春   躬身 施礼 忙 请 令   差池 敢 当 军令 行
（西皮摇板）, 子龙 之 言 诚 谨慎   此 去 还 须 多 小心
（西皮摇板）, 黄忠越 老 越 好胜
（西皮摇板）, 他 越激 我 越 气 偏 要 行
（西皮摇板）, 老将 从来 太 烈性   不 去 助 战功 难 成
（西皮摇板）, 张 著 近前 听 将令   辅佐 黄忠 见机行
（西皮摇板）, 赵云 近前 听 将令   准备 救应 黄汉升
（西皮摇板）, 军师 妙算 真 安稳   调度 不 差 半 毫分
（西皮摇板）, 刘封
（西皮摇板）, 臣 与 主公 听 好信
（西皮摇板）, 有 先生 何 愁 不 太平
（内西皮导板）, 我 非人 前 夸老硬
（西皮快板）, 也 曾 一 战 取 定军   赵国 廉颇 八十 整   日餐斗 米 肉 十 斤   老夫 今年 七十 整   我 与 廉颇 不 差 毫分   夏侯渊 在 某 的 刀下丧 了 命   张邰被 俺 吓 掉了魂   哪怕 他 人马 如 潮涌   哪怕 他 将士 似 风云   杀 得 他 人头 如 瓜 滚   杀 得 他 尸横遍野 马 难行   扬扬 得意 往前 进
（内西皮导板）, 北山 脚 下 火焰 飘
（西皮流水板）, 满 营 将士逞 英豪   偶遇 高阜且 登眺
（西皮摇板）, 站立 山顶 把 令旗 摇
（西皮散板）, 只 杀 得 红日 无光曜   只 杀 得 地动 山 又 摇   只 杀 得 战马 声 咆哮   只 杀 得 众将 血染 袍
（西皮散板）, 黄忠 老儿 武艺 好   越 杀 越 勇 杀气 高   孤 在 山头 发令号   休要 放走 老儿曹
（内西皮导板）, 我 越 杀 越 勇 精神好
（西皮快板）, 怎奈 曹兵似涌潮   我 在 帐 中 不 服老   藐视曹 兵 若 蓬蒿   不料 今日 遭 圈套
（西皮散板）, 大鹏 飞腾 下 九霄
（西皮散板）, 看看 猛虎 将 擒到   何方 又 来 一 条 蛟   白盔 白 甲 白 旗号   莫不是 常 山 的 赵子龙 他 又来了
（西皮流水板）, 一 日 离家 一 日 深   好似 孤雁宿寒林
（西皮锁板）, 催 鞭打 马 往前 行   不觉 来到 店 房门
（西皮流水板）, 适才 店家 对 我 讲   此地 乡风 不 一样   将 身来 在 大街 上   来来往往 看 端详
（内西皮导板）, 屈死 鬼 在 阴曹 泪流满面
（西皮锁板）, 来 了 我 冤 鬼魂 李氏桂 莲   将 身来 在 大街 前   阴曹 受罪 实 可怜
（西皮二六板）, 八月 十五月 儿圆   夫妻 欢乐 在 床 前   一 步 儿来 至 在 大 街上
（西皮紧板）, 不 顾 生死 往前 奔
（西皮锁板）, 适才 来 在 大街 前   好像 我 夫到 此间
（西皮紧板）, 我 足下 行走 大 街上
（西皮紧板）, 果然 我 妻李桂莲
（西皮快板）, 急急 走 来往 前行   一 步 来 在 店 房门
（西皮二六板）, 倪木 做事 太 莽撞   淫 占 我 妻 为 哪般   将 身来 在 阴阳界   不由 我 一 阵阵 心惊胆寒
（西皮二六板）, 耳边厢 又 听得 乱石 响   倒 叫 我 桂莲 着 了 忙   我 这里 将门 来 开放
（西皮二六板）, 你 是 何人 到此方
（哭板）, 听说 我 妻 把 话 讲   怎不 叫人 痛心肠
（哭板）, 听说 儿夫 要 起程   怎 不 叫人 痛 伤心   哭 一 声 我 的 夫 难得 相见
（哭板）, 哭 一 声 我 的 夫 张茂深
（二黄散板）, 二 贼 说话 欠 思忖   胆敢 妄言 来 伤人   今日 老夫 回 朝廷
（二黄散板）, 斩尔 的 人头 挂 午门
（二黄垛板）, 昏王 做事 不 明净   袒护 妲己 害 忠臣   黄飞虎 无辜 遭 不幸   携带 家小 出 皇城   姬昌 兴兵 要 犯境   眼看 江山 化 灰尘   越 思 越 想 心头 恨
（西皮原板）, 我 本 是 狐仙女 修身 养性   遵 女娲 招妖幡 我 变化 人形   每 日 里 施 娇媚 把 纣王 勾引   管 叫 他 商 汤 江山 化 烟云   将 身儿 且 坐在 后宫 院等   等候 那 万岁爷 回转 宫廷
（西皮散板）, 内侍 摆驾 后宫 进
（西皮散板）, 有劳 梓童 迎 寡人
（西皮原板）, 与 爱卿 在 宫中 把酒 来 饮   叫 一声二卿家细 听 分明   闻 太师 陈十策 要 把 朝纲 整   岂 容 他 施 权威 一 揽 朝廷   你 二 人 休 孟浪 要 多加 谨慎
（西皮流水板）, 满 朝 文武 情 激愤   要 除 奸佞 保 众生   到 如今 商 汤 江山 难 保定   还 论 的 什么 君 是 君 来 臣 是 臣   怒气冲冲 我 就 闯 宫门
（西皮散板）, 你 为何 藏 奸贼 罪 不 容情
（西皮散板）, 胆敢 替 孤 传 圣命
（西皮散板）, 我 是 朝中 第一 臣
（西皮散板）, 他们 有 功于 国家 不 能 斩
（西皮散板）, 不 杀 二 贼 我 誓不 为人
（西皮散板）, 速 将 二 贼 来 上捆
（西皮散板）, 吓得 我 七 魄飞
（西皮散板）, 丢 了 三魂
（同西皮散板）, 无奈何 叩头 作揖 求 侥命
（数板）, 老太师
（数板）, 老太宰
（同数板）, 我 的 活 祖宗
（数板）, 我 二 人 是 个 可怜虫
（数板）, 马勺 的 苍蝇 混 营生
（数板）, 皇上 娘娘 权利 大
（数板）, 我们 吹牛拍马 来 奉承
（数板）, 得了 个 升官 发财梦
（数板）, 件件 坏事 打先锋
（数板）, 造 鹿台
（数板）, 建造 酒 池 和 虿盆
（数板）, 为了 皇上 娘娘乐
（数板）, 不知 害死 了 多少 人
（数板）, 商容
（数板）, 件件 坏事 都 是 我们 行
（数板）, 实 指望 受宠 得势 官运 通
（数板）, 谁 料想 害人 害己 才 告终
（同数板）, 求求 太师饶 我们 命
（同西皮散板）, 我 的 老 祖宗
（西皮散板）, 将 费仲
（西皮散板）, 取 奸贼 的 人头 去 祭灵
（西皮散板）, 听说 是 斩 二 卿 魂飞 不定
（西皮散板）, 吓得 我 胆战惊 不 敢 应声
（西皮快原板）, 为 臣者 尽忠 是 本份   为 君 者 也 要 爱护 臣民   坐江山 千斤 重   臣子 分担 八百 斤   姜 皇后 忠于 你 挖目 丧命   老 比干 忠于 你 鹿台剖心   贾氏 夫人 摘星 楼上 贞节 可敬   以 权势 要 抄斩 黄 氏 满门   这 是 你 昏庸 无道 引起 群愤   四 伯 侯 兴 人马 要 反 朝廷   只要 你 贬 了 妲己 女   我 领兵 战西岐 扫灭 叛军   臣 尽忠忠 的 是 圣天子   岂 能 忠于 无道 君   你 若 不 准 陈 十 策   老 臣 我 告职 还乡 隐住 山林
（西皮散板）, 太 帅 不 肯 退 贼兵   倒 叫 孤王无计 行   本当 贬 了 妲己 女
（西皮散板）, 实实 难 舍 君 妃情   若是 不 贬 妲己 女   孤 王 的 江山 坐 不 成   左思右想 心不定
（西皮散板）, 陈 十 策 贬 妲己 万民 欢腾
（西皮导板）, 耳边 厢忽 听 得 万 岁 高 叫
（西皮散板）, 虎背熊腰 系 紫绦   佯狂 市井 任逍遥   有 酒 不 知 天 大小   任他 肉眼 看 英豪
（西皮散板）, 市井 佯狂 伤 老大   一 任 粗豪 置 年华   有 酒 且 醉 我 多 潇洒   哪 顾 荆臻 道路 差   一 坛 美酒 俱 饮下
（西皮散板）, 快把 美酒 献与咱
（西皮散板）, 听 一言 来 怒气 发   你 敢 拿 官府 将 咱压   若 无 银两 来 献纳   顷刻 将 你 的 窑打塌
（西皮散板）, 非 是 俺 今日 说 大话   任它 泰山 也 倒塌
（西皮散板）, 酒入 愁肠 力气 大   几 座 窑 儿 俱 打塌   挽袖 挥拳 往下 打
（西皮散板）, 大爷 息怒 饶恕他
（西皮流水板）, 堪 笑 尔等 双 眼瞎   错 把 金刚 当 菩萨   你 把 那 当官 来看 大   大 捧 金银 献 与 他   某 是 私取尔 不怕   狗 眼 里面 哪 有 咱   你 与 我 装聋 来作哑   不纳 金银 空 磨牙   一时 之 怒 我 把 这 窑 来 打   顷刻间 一 座 一 座 几 座 窑 儿 被 某 俱 打塌   从 今后 你 等 你们 怕 不怕
（西皮流水板）, 限 三 天 把 银两 你 送到 某 家
（西皮摇板）, 操演 归来 精神 爽   儿郎 个个 逞 刚强   催马 加鞭 回 府往
（西皮摇板）, 拦 马 喊冤 为 哪 桩
（西皮摇板）, 百姓 大堂 来 告禀   蛟虎 作恶 出 强人   不 除 三 害 难 解 很
（西皮摇板）, 人 来 与 爷换 衣巾
（西皮散板）, 堪 笑 他 软 的 欺来 硬 的 怕
（西皮散板）, 今日 里 周 大爷 教训 与 他
（二黄摇板）, 脱去 了 蟒袍 换 青巾   谁 人 知 我 是 大臣   将 身来 在 路旁 等
（二黄摇板）, 我 要 教训 这 不肖 的 人
（二黄散板）, 半世 悠悠 风尘困   老大 徒悲 暗伤情
（二黄散板）, 此 人 因何 冲天 恨
（二黄散板）, 为着 何事 气不平
（二黄散板）, 俺 生来 铁骨 与 钢筋   惯打 这 人间 抱不平   快把 实 言 对 某 论   他 就是 真 金刚
（二黄散板）, 也 惧某 三分
（二黄慢板）, 提起 了 这 三 害 令 人 可恨   讲 出来 连 壮士 也 要 心惊
（二黄原板）, 第一 害 那 南山 出 了 猛虎
（二黄原板）, 行路人 遇着 它 难以 逃生
（二黄原板）, 第二 害 它 比 那 猛虎 还 狠
（二黄原板）, 长 桥下 又 出 了 魔怪 蛟精
（二黄原板）, 那 孽蛟兴 波浪 庄 田 淹尽   吞行人 覆舟 船 残害 生灵
（二黄原板）, 若 论 那 第三 害 越 发 可恨   他 比 那 南山 的 猛虎
（二黄原板）, 第三 害 与 虎蛟 不 能 同论   他 本 是 有 须眉
（二黄原板）, 只 因 他 父早 亡 无人 教训   因此 上成 下流 作恶 欺人
（二黄原板）, 被害家 纵然 想 前去 告禀
（二黄散板）, 怕 的 是 告 不 成 大祸 临 身
（二黄散板）, 听 一言 来火 难忍   豪杰 动 了 杀人 心   这厮 他 叫何 名姓
（二黄散板）, 我 抽 了 他 的 筋
（二黄散板）, 我 若是 说出 他 名 和 姓   怕 的 是 老 残生 就 活 不成
（二黄散板）, 有 某 在 此 心放定   说出 祸 来 某 担承
（二黄散板）, 他 姓 周名处 字 子 隐
（二黄散板）, 壮士 闻 言胆战惊
（二黄散板）, 好 一 似 霹雳 当头 震   心如刀割 汗 淋身   周处 本 是 奇 男子   如今 三 害 有 我 的 名   手 摸 胸膛 自 责问
（二黄散板）, 有 何 脸面 在 宜兴
（二黄散板）, 请问 壮士 名 和 姓
（二黄散板）, 周处 就是 我 的 名
（二黄散板）, 这 是 我 一言错 出 唇   望 壮士 开 大恩饶 我 残生
（二黄散板）, 老丈 不 要 胆怕惊   我 自愧自 怒 自伤情
（二黄散板）, 老丈 在 此 等 一等
（二黄散板）, 我 不 除 三 害 我 不 为人
（二黄散板）, 看他 此 去 自 觉醒   要 除 三 害 在 他 身
（内西皮导板）, 郁郁 苍茫 烟雾 罩
（西皮散板）, 日落 红 云 断 渔樵   耳旁 听 得 虎声啸   且 看 英雄 捣虎巢
（西皮摇板）, 周 大爷 遇 不幸 心痛 难忍   在 长桥 祭奠 他 略表 诚心
（西皮散板）, 不如 提 剑 自刎 了
（西皮散板）, 壮士 轻生 为 哪条
（二黄散板）, 一席话 说得 我 羞愧 难尽   蒙 大人 不 加罪 反 赞 不 绝 声   众乡亲 把酒 河边 来 庆幸   都 道 俺葬 波涛
（二黄二六板）, 命丧 残生   想到 此 我 心中 又 愧又 恨   想到 此 一 阵阵 汗 如 雨淋   恨 只 恨 父 早 亡 无人 教训   恨 只 恨 每 日 里 佯狂 纵酒
（二黄原板）, 想到 此 不 容 某 不 速 觉 猛醒   想到 此 我 就 该 改过 自新   我 这里 再 与 大人 来论
（二黄散板）, 俺 周处 要 访 名师 我 改学 好人
（内二黄导板）, 遭 被 绑 不 由人 对 天长恨
（二黄原板）, 都 只为 秦始皇 不 行 仁政   修 五岭筑 长城 不恤 民情   伐 洛阳 迁 九鼎六国 吞并   传 二 世 至 胡亥国 破身 倾   楚 项羽 起 江东 人马 强盛   除 残暴 定 咸阳 火焚 都城   最 可叹 国 未 稳 义帝 丧命   汉刘 王恤民 灾 西 蜀 存身   儿 王陵扶 汉 主 三生有幸   恨重瞳 他 不 该 累及 妇人   但愿 得 死 他乡 免受 囚禁   我 的 儿亦 免得 胸 藏 二心
（二黄原板）, 听梆铃 传 罢了 初 更 时分   耳闻 得 金 鼓声 好 不 惊人   实 指望 养姣儿膝 前 孝顺   又 谁 知 无 故地 囚禁 楚营   可叹 我 年 衰迈 有 谁 怜悯   自 凄凉 看 月影 盼 等 天明
（二黄原板）, 耳边厢 又 听 得 二 更 时分   想起 了 当年 事 箭 刺 我心   叹儿 夫 遭 不幸 早年 丧命   我 母子 度 光阴 受尽 苦情   但愿 得 我 的 儿 荣归 乡井   也 免得 年迈 人日 夜 忧心
（二黄原板）, 耳听 得 打 罢了 三更 时分   我 好比 釜中 鱼 心似 火焚   我 的 儿扶汉 主 精忠 效命   有道是 食君禄 当 报 君恩   有 千 言 和 万 语 诉说 不尽   心绪 乱 眼 朦胧 闷 对 孤灯
（二黄原板）, 猛 听得 大营 内 四 更鼓 震   人 喧哗 马 咆哮 炮响 连声   奇 男子 创 基业 上 承 天命   拯民 灾行 仁政 下 顺 舆情   贼 项羽 多 残暴 杀戮 太 盛   到后来 亦 难免 刀 斧临身
（二黄散板）, 满 营 中梆 铃响 五 更 已尽   金 鸡叫 四 野 闻 红 日 东升   思 家乡 想 故土 难以 逃命   我 好似 宾 鸿雁 无处 投奔   望 苍天 哭姣儿 泪流 不尽   要 相逢 除非 是 等到 来生
（西皮散板）, 我 主 兴兵 承 天运   平定 咸阳 救 万民   将 身且 把 宝帐进   且 听 探马 报 佳音
（西皮散板）, 楚汉 连年 动 刀兵   将士 何日享 太平   下得 马来 敌楼 进
（西皮散板）, 且 待 来 人 说 分明
（西皮散板）, 儿郎 带路 朝 前进   敌楼 只 见 王 将军
（西皮摇板）, 号炮 连 天山 摇震   吓 得 我 三 魂 少 二 魂   咬定 牙关 朝 前进
（西皮摇板）, 敌楼 上 站定 小 姣生   走上 前来 把 话 论   为 娘 眼 来 听 分明   项羽 要 报成 皋恨   因此 将 我 囚楚营   纵然 我 一 死 何足论   你 休要 中 贼 巧 计生
（西皮快板）, 一 见 老娘 泪 满襟   好似 钢刀 刺 在心   讲 什么 为国 把 忠尽   儿拚 一 死 救 娘亲
（西皮摇板）, 听 一言 来气 难忍   大骂 王陵 不孝人   你 若 背 主 违娘 命
（西皮摇板）, 我 纵死 九 泉 不 甘心
（西皮散板）, 老娘 教训 儿 遵命   王陵怎 作 不孝人   左思右想 心不定
（西皮摇板）, 元帅 请 把 宽心 放   过 营 之 事 我 承当   即 忙 驰驱 朝 前往   管 叫 他 忠心扶 汉王
（西皮摇板）, 叔孙 先生 智谋 广   敢 在 虎口 去 寻 羊
（西皮摇板）, 多 蒙 先生 美言 讲   咬牙切齿 恨 项 王   但愿 老母 身无恙   再 与 重瞳 论 短长
（西皮摇板）, 霎时间 腹内 痛心血 上 撞
（西皮散板）, 孤 自 江淮 发兵 将   一 战 成功 定 家邦   将 身且 坐黄罗帐   且 听 探马 报端 详
（西皮散板）, 谋 深 何 惧入 罗网   打探 贤母 见 楚王   将 身来 至 中 军帐   两 旁 站立 众 儿郎
（西皮摇板）, 昨日 阵前 把 话 论   不由 老身 痛 在心   怒气 不 息 贼 帐 进   看 他 把 我 怎样 行
